Wavelength_um,Total_T,Planet
0.5,0.638575,GJ_1214b
0.5025,0.639155,GJ_1214b
0.5050125,0.643671,GJ_1214b
0.5075375625,0.649257,GJ_1214b
0.5100752503,0.655868,GJ_1214b
0.5126256266,0.662887,GJ_1214b
0.5151887547,0.670639,GJ_1214b
0.5177646985,0.67697,GJ_1214b
0.520353522,0.682795,GJ_1214b
0.5229552896,0.687558,GJ_1214b
0.525570066,0.692937,GJ_1214b
0.5281979164,0.697979,GJ_1214b
0.5308389059,0.702755,GJ_1214b
0.5334931005,0.707526,GJ_1214b
0.536160566,0.711548,GJ_1214b
0.5388413688,0.713688,GJ_1214b
0.5415355756,0.712292,GJ_1214b
0.5442432535,0.717845,GJ_1214b
0.5469644698,0.72648,GJ_1214b
0.5496992921,0.732974,GJ_1214b
0.5524477886,0.738841,GJ_1214b
0.5552100275,0.743852,GJ_1214b
0.5579860777,0.748951,GJ_1214b
0.5607760081,0.753397,GJ_1214b
0.5635798881,0.757592,GJ_1214b
0.5663977875,0.760001,GJ_1214b
0.5692297765,0.754325,GJ_1214b
0.5720759254,0.763536,GJ_1214b
0.574936305,0.765652,GJ_1214b
0.5778109865,0.769136,GJ_1214b
0.5807000414,0.774535,GJ_1214b
0.5836035417,0.779537,GJ_1214b
0.5865215594,0.766526,GJ_1214b
0.5894541672,0.727665,GJ_1214b
0.592401438,0.756394,GJ_1214b
0.5953634452,0.754988,GJ_1214b
0.5983402624,0.761113,GJ_1214b
0.6013319637,0.776121,GJ_1214b
0.6043386235,0.792845,GJ_1214b
0.6073603167,0.804157,GJ_1214b
0.6103971182,0.811149,GJ_1214b
0.6134491038,0.810788,GJ_1214b
0.6165163494,0.802364,GJ_1214b
0.6195989311,0.79364,GJ_1214b
0.6226969258,0.812764,GJ_1214b
0.6258104104,0.822377,GJ_1214b
0.6289394624,0.829364,GJ_1214b
0.6320841597,0.831838,GJ_1214b
0.6352445805,0.836006,GJ_1214b
0.6384208035,0.83515,GJ_1214b
0.6416129075,0.836829,GJ_1214b
0.644820972,0.819261,GJ_1214b
0.6480450769,0.803843,GJ_1214b
0.6512853022,0.817238,GJ_1214b
0.6545417288,0.823637,GJ_1214b
0.6578144374,0.820464,GJ_1214b
0.6611035096,0.835069,GJ_1214b
0.6644090271,0.838291,GJ_1214b
0.6677310723,0.850366,GJ_1214b
0.6710697276,0.861071,GJ_1214b
0.6744250763,0.869985,GJ_1214b
0.6777972017,0.873707,GJ_1214b
0.6811861877,0.872714,GJ_1214b
0.6845921186,0.873894,GJ_1214b
0.6880150792,0.874377,GJ_1214b
0.6914551546,0.807918,GJ_1214b
0.6949124304,0.805968,GJ_1214b
0.6983869925,0.833175,GJ_1214b
0.7018789275,0.79753,GJ_1214b
