Wavelength_um,Total_T,Planet
0.4,0.99935987,HD_132406_b
0.4002,0.99936053,HD_132406_b
0.4004001,0.99936131,HD_132406_b
0.4006003,0.99936221,HD_132406_b
0.4008006002,0.99936322,HD_132406_b
0.4010010005,0.99936431,HD_132406_b
0.401201501,0.99936546,HD_132406_b
0.4014021018,0.99936667,HD_132406_b
0.4016028028,0.99936791,HD_132406_b
0.4018036042,0.99936917,HD_132406_b
0.402004506,0.99937043,HD_132406_b
0.4022055083,0.99937171,HD_132406_b
0.402406611,0.99937299,HD_132406_b
0.4026078143,0.99937426,HD_132406_b
0.4028091182,0.99937553,HD_132406_b
0.4030105228,0.99937679,HD_132406_b
0.403212028,0.99937804,HD_132406_b
0.4034136341,0.99937929,HD_132406_b
0.4036153409,0.99938053,HD_132406_b
0.4038171485,0.99938176,HD_132406_b
0.4040190571,0.99938299,HD_132406_b
0.4042210666,0.99938422,HD_132406_b
0.4044231772,0.99938544,HD_132406_b
0.4046253888,0.99938666,HD_132406_b
0.4048277015,0.99938789,HD_132406_b
0.4050301153,0.99938911,HD_132406_b
0.4052326304,0.99939033,HD_132406_b
0.4054352467,0.99939155,HD_132406_b
0.4056379643,0.99939276,HD_132406_b
0.4058407833,0.99939397,HD_132406_b
0.4060437037,0.99939518,HD_132406_b
0.4062467255,0.99939639,HD_132406_b
0.4064498489,0.99939759,HD_132406_b
0.4066530738,0.99939879,HD_132406_b
0.4068564004,0.99939998,HD_132406_b
0.4070598286,0.99940117,HD_132406_b
0.4072633585,0.99940236,HD_132406_b
0.4074669902,0.99940354,HD_132406_b
0.4076707237,0.99940472,HD_132406_b
0.407874559,0.9994059,HD_132406_b
0.4080784963,0.99940707,HD_132406_b
0.4082825355,0.99940825,HD_132406_b
0.4084866768,0.99940941,HD_132406_b
0.4086909201,0.99941058,HD_132406_b
0.4088952656,0.99941175,HD_132406_b
0.4090997132,0.99941292,HD_132406_b
0.4093042631,0.99941408,HD_132406_b
0.4095089152,0.99941525,HD_132406_b
0.4097136697,0.99941642,HD_132406_b
0.4099185265,0.99941758,HD_132406_b
0.4101234858,0.99941875,HD_132406_b
0.4103285475,0.99941991,HD_132406_b
0.4105337118,0.99942107,HD_132406_b
0.4107389787,0.99942223,HD_132406_b
0.4109443481,0.99942339,HD_132406_b
0.4111498203,0.99942455,HD_132406_b
0.4113553952,0.9994257,HD_132406_b
0.4115610729,0.99942685,HD_132406_b
0.4117668535,0.99942799,HD_132406_b
0.4119727369,0.99942913,HD_132406_b
0.4121787233,0.99943028,HD_132406_b
0.4123848126,0.99943141,HD_132406_b
0.412591005,0.99943255,HD_132406_b
0.4127973005,0.99943368,HD_132406_b
0.4130036992,0.99943481,HD_132406_b
0.413210201,0.99943593,HD_132406_b
0.4134168061,0.99943706,HD_132406_b
0.4136235145,0.99943818,HD_132406_b
0.4138303263,0.9994393,HD_132406_b
0.4140372415,0.99944042,HD_132406_b
0.4142442601,0.99944153,HD_132406_b
0.4144513822,0.99944263,HD_132406_b
0.4146586079,0.99944372,HD_132406_b
0.4148659372,0.9994448,HD_132406_b
0.4150733702,0.99944587,HD_132406_b
0.4152809069,0.99944693,HD_132406_b
0.4154885473,0.99944798,HD_132406_b
0.4156962916,0.99944903,HD_132406_b
0.4159041397,0.99945008,HD_132406_b
0.4161120918,0.99945113,HD_132406_b
0.4163201478,0.9994522,HD_132406_b
0.4165283079,0.99945328,HD_132406_b
0.4167365721,0.99945436,HD_132406_b
0.4169449404,0.99945546,HD_132406_b
0.4171534128,0.99945655,HD_132406_b
0.4173619895,0.99945765,HD_132406_b
0.4175706705,0.99945875,HD_132406_b
0.4177794559,0.99945984,HD_132406_b
0.4179883456,0.99946092,HD_132406_b
0.4181973398,0.999462,HD_132406_b
0.4184064384,0.99946308,HD_132406_b
0.4186156417,0.99946417,HD_132406_b
0.4188249495,0.99946526,HD_132406_b
0.4190343619,0.99946635,HD_132406_b
0.4192438791,0.99946745,HD_132406_b
0.4194535011,0.99946855,HD_132406_b
0.4196632278,0.99946964,HD_132406_b
0.4198730594,0.99947072,HD_132406_b
0.420082996,0.9994718,HD_132406_b
0.4202930375,0.99947286,HD_132406_b
0.420503184,0.99947391,HD_132406_b
0.4207134356,0.99947494,HD_132406_b
0.4209237923,0.99947597,HD_132406_b
0.4211342542,0.99947699,HD_132406_b
0.4213448213,0.999478,HD_132406_b
0.4215554937,0.99947902,HD_132406_b
0.4217662715,0.99948004,HD_132406_b
0.4219771546,0.99948106,HD_132406_b
0.4221881432,0.9994821,HD_132406_b
0.4223992373,0.99948315,HD_132406_b
0.4226104369,0.99948421,HD_132406_b
0.4228217421,0.99948528,HD_132406_b
0.423033153,0.99948636,HD_132406_b
0.4232446695,0.99948745,HD_132406_b
0.4234562919,0.99948855,HD_132406_b
0.42366802,0.99948963,HD_132406_b
0.423879854,0.99949071,HD_132406_b
0.424091794,0.99949177,HD_132406_b
0.4243038399,0.99949282,HD_132406_b
0.4245159918,0.99949384,HD_132406_b
0.4247282498,0.99949484,HD_132406_b
0.4249406139,0.99949582,HD_132406_b
0.4251530842,0.99949678,HD_132406_b
0.4253656607,0.99949772,HD_132406_b
0.4255783436,0.99949865,HD_132406_b
0.4257911327,0.99949957,HD_132406_b
0.4260040283,0.99950049,HD_132406_b
0.4262170303,0.99950141,HD_132406_b
0.4264301388,0.99950234,HD_132406_b
0.4266433539,0.99950328,HD_132406_b
0.4268566756,0.99950423,HD_132406_b
0.4270701039,0.99950519,HD_132406_b
0.427283639,0.99950616,HD_132406_b
0.4274972808,0.99950713,HD_132406_b
0.4277110294,0.99950811,HD_132406_b
0.427924885,0.99950909,HD_132406_b
0.4281388474,0.99951007,HD_132406_b
0.4283529168,0.99951105,HD_132406_b
0.4285670933,0.99951204,HD_132406_b
0.4287813768,0.99951303,HD_132406_b
0.4289957675,0.99951402,HD_132406_b
0.4292102654,0.99951501,HD_132406_b
0.4294248705,0.99951601,HD_132406_b
0.429639583,0.999517,HD_132406_b
0.4298544028,0.999518,HD_132406_b
0.43006933,0.999519,HD_132406_b
0.4302843646,0.99952,HD_132406_b
0.4304995068,0.999521,HD_132406_b
0.4307147566,0.99952199,HD_132406_b
0.4309301139,0.99952298,HD_132406_b
0.431145579,0.99952396,HD_132406_b
0.4313611518,0.99952494,HD_132406_b
0.4315768324,0.9995259,HD_132406_b
0.4317926208,0.99952686,HD_132406_b
0.4320085171,0.9995278,HD_132406_b
0.4322245213,0.99952872,HD_132406_b
0.4324406336,0.99952964,HD_132406_b
0.4326568539,0.99953055,HD_132406_b
0.4328731823,0.99953145,HD_132406_b
0.4330896189,0.99953236,HD_132406_b
0.4333061637,0.99953327,HD_132406_b
0.4335228168,0.99953419,HD_132406_b
0.4337395782,0.99953512,HD_132406_b
0.433956448,0.99953606,HD_132406_b
0.4341734263,0.999537,HD_132406_b
0.434390513,0.99953794,HD_132406_b
0.4346077082,0.99953888,HD_132406_b
0.4348250121,0.99953981,HD_132406_b
0.4350424246,0.99954073,HD_132406_b
0.4352599458,0.99954164,HD_132406_b
0.4354775758,0.99954254,HD_132406_b
0.4356953146,0.99954344,HD_132406_b
0.4359131622,0.99954434,HD_132406_b
0.4361311188,0.99954524,HD_132406_b
0.4363491844,0.99954614,HD_132406_b
0.4365673589,0.99954705,HD_132406_b
0.4367856426,0.99954795,HD_132406_b
0.4370040354,0.99954885,HD_132406_b
0.4372225375,0.99954975,HD_132406_b
0.4374411487,0.99955064,HD_132406_b
0.4376598693,0.99955152,HD_132406_b
0.4378786992,0.9995524,HD_132406_b
0.4380976386,0.99955327,HD_132406_b
0.4383166874,0.99955413,HD_132406_b
0.4385358458,0.99955499,HD_132406_b
0.4387551137,0.99955584,HD_132406_b
0.4389744912,0.99955669,HD_132406_b
0.4391939785,0.99955753,HD_132406_b
0.4394135755,0.99955837,HD_132406_b
0.4396332823,0.99955919,HD_132406_b
0.4398530989,0.99956,HD_132406_b
0.4400730254,0.99956079,HD_132406_b
0.440293062,0.99956156,HD_132406_b
0.4405132085,0.9995623,HD_132406_b
0.4407334651,0.99956301,HD_132406_b
0.4409538318,0.99956369,HD_132406_b
0.4411743087,0.99956433,HD_132406_b
0.4413948959,0.99956494,HD_132406_b
0.4416155933,0.99956552,HD_132406_b
0.4418364011,0.9995661,HD_132406_b
0.4420573193,0.99956668,HD_132406_b
0.442278348,0.99956728,HD_132406_b
0.4424994872,0.99956794,HD_132406_b
0.4427207369,0.99956865,HD_132406_b
0.4429420973,0.99956944,HD_132406_b
0.4431635683,0.99957029,HD_132406_b
0.4433851501,0.9995712,HD_132406_b
0.4436068427,0.99957215,HD_132406_b
0.4438286461,0.99957312,HD_132406_b
0.4440505604,0.99957411,HD_132406_b
0.4442725857,0.99957509,HD_132406_b
0.444494722,0.99957606,HD_132406_b
0.4447169694,0.99957703,HD_132406_b
0.4449393279,0.99957798,HD_132406_b
0.4451617975,0.99957893,HD_132406_b
0.4453843784,0.99957989,HD_132406_b
0.4456070706,0.99958084,HD_132406_b
0.4458298741,0.9995818,HD_132406_b
0.4460527891,0.99958277,HD_132406_b
0.4462758155,0.99958375,HD_132406_b
0.4464989534,0.99958473,HD_132406_b
0.4467222029,0.99958572,HD_132406_b
0.446945564,0.99958669,HD_132406_b
0.4471690367,0.99958765,HD_132406_b
0.4473926213,0.9995886,HD_132406_b
0.4476163176,0.99958953,HD_132406_b
0.4478401257,0.99959044,HD_132406_b
0.4480640458,0.99959133,HD_132406_b
0.4482880778,0.9995922,HD_132406_b
0.4485122219,0.99959306,HD_132406_b
0.448736478,0.99959391,HD_132406_b
0.4489608462,0.99959475,HD_132406_b
0.4491853266,0.99959559,HD_132406_b
0.4494099193,0.99959642,HD_132406_b
0.4496346243,0.99959725,HD_132406_b
0.4498594416,0.99959808,HD_132406_b
0.4500843713,0.9995989,HD_132406_b
0.4503094135,0.99959972,HD_132406_b
0.4505345682,0.99960053,HD_132406_b
0.4507598355,0.99960134,HD_132406_b
0.4509852154,0.99960213,HD_132406_b
0.451210708,0.99960292,HD_132406_b
0.4514363133,0.99960371,HD_132406_b
0.4516620315,0.99960448,HD_132406_b
0.4518878625,0.99960525,HD_132406_b
0.4521138064,0.99960602,HD_132406_b
0.4523398633,0.99960679,HD_132406_b
0.4525660333,0.99960756,HD_132406_b
0.4527923163,0.99960834,HD_132406_b
0.4530187125,0.99960911,HD_132406_b
0.4532452218,0.99960989,HD_132406_b
0.4534718444,0.99961067,HD_132406_b
0.4536985803,0.99961144,HD_132406_b
0.4539254296,0.99961221,HD_132406_b
0.4541523924,0.99961298,HD_132406_b
0.4543794685,0.99961374,HD_132406_b
0.4546066583,0.9996145,HD_132406_b
0.4548339616,0.99961527,HD_132406_b
0.4550613786,0.99961603,HD_132406_b
0.4552889093,0.9996168,HD_132406_b
0.4555165537,0.99961756,HD_132406_b
0.455744312,0.99961833,HD_132406_b
0.4559721842,0.99961909,HD_132406_b
0.4562001703,0.99961985,HD_132406_b
0.4564282703,0.99962061,HD_132406_b
0.4566564845,0.99962137,HD_132406_b
0.4568848127,0.99962212,HD_132406_b
0.4571132551,0.99962287,HD_132406_b
0.4573418118,0.99962362,HD_132406_b
0.4575704827,0.99962438,HD_132406_b
0.4577992679,0.99962513,HD_132406_b
0.4580281675,0.99962588,HD_132406_b
0.4582571816,0.99962663,HD_132406_b
0.4584863102,0.99962738,HD_132406_b
0.4587155534,0.99962813,HD_132406_b
0.4589449111,0.99962888,HD_132406_b
0.4591743836,0.99962962,HD_132406_b
0.4594039708,0.99963037,HD_132406_b
0.4596336728,0.99963112,HD_132406_b
0.4598634896,0.99963187,HD_132406_b
0.4600934214,0.99963261,HD_132406_b
0.4603234681,0.99963335,HD_132406_b
0.4605536298,0.99963408,HD_132406_b
0.4607839066,0.99963482,HD_132406_b
0.4610142986,0.99963555,HD_132406_b
0.4612448057,0.99963627,HD_132406_b
0.4614754281,0.99963699,HD_132406_b
0.4617061658,0.99963771,HD_132406_b
0.4619370189,0.99963843,HD_132406_b
0.4621679874,0.99963914,HD_132406_b
0.4623990714,0.99963986,HD_132406_b
0.462630271,0.99964057,HD_132406_b
0.4628615861,0.99964129,HD_132406_b
0.4630930169,0.999642,HD_132406_b
0.4633245634,0.99964271,HD_132406_b
0.4635562257,0.99964342,HD_132406_b
0.4637880038,0.99964413,HD_132406_b
0.4640198978,0.99964484,HD_132406_b
0.4642519077,0.99964554,HD_132406_b
0.4644840337,0.99964624,HD_132406_b
0.4647162757,0.99964693,HD_132406_b
0.4649486338,0.99964762,HD_132406_b
0.4651811082,0.9996483,HD_132406_b
0.4654136987,0.99964898,HD_132406_b
0.4656464056,0.99964966,HD_132406_b
0.4658792288,0.99965033,HD_132406_b
0.4661121684,0.999651,HD_132406_b
0.4663452245,0.99965166,HD_132406_b
0.4665783971,0.99965233,HD_132406_b
0.4668116863,0.99965299,HD_132406_b
0.4670450921,0.99965365,HD_132406_b
0.4672786147,0.9996543,HD_132406_b
0.467512254,0.99965495,HD_132406_b
0.4677460101,0.99965558,HD_132406_b
0.4679798831,0.9996562,HD_132406_b
0.4682138731,0.99965681,HD_132406_b
0.46844798,0.99965741,HD_132406_b
0.468682204,0.999658,HD_132406_b
0.4689165451,0.99965858,HD_132406_b
0.4691510034,0.99965916,HD_132406_b
0.4693855789,0.99965975,HD_132406_b
0.4696202716,0.99966036,HD_132406_b
0.4698550818,0.99966098,HD_132406_b
0.4700900093,0.99966163,HD_132406_b
0.4703250543,0.9996623,HD_132406_b
0.4705602169,0.99966299,HD_132406_b
0.470795497,0.99966369,HD_132406_b
0.4710308947,0.99966441,HD_132406_b
0.4712664102,0.99966514,HD_132406_b
0.4715020434,0.99966587,HD_132406_b
0.4717377944,0.99966659,HD_132406_b
0.4719736633,0.99966731,HD_132406_b
0.4722096501,0.99966803,HD_132406_b
0.4724457549,0.99966873,HD_132406_b
0.4726819778,0.99966944,HD_132406_b
0.4729183188,0.99967013,HD_132406_b
0.473154778,0.99967083,HD_132406_b
0.4733913554,0.99967153,HD_132406_b
0.473628051,0.99967223,HD_132406_b
0.4738648651,0.99967293,HD_132406_b
0.4741017975,0.99967364,HD_132406_b
0.4743388484,0.99967434,HD_132406_b
