Wavelength_um,Total_T,Planet
0.4,0.64296398,Kelt-9_b
0.4002,0.64327356,Kelt-9_b
0.4004001,0.64363481,Kelt-9_b
0.4006003,0.64404355,Kelt-9_b
0.4008006002,0.64449351,Kelt-9_b
0.4010010005,0.64497732,Kelt-9_b
0.401201501,0.64548733,Kelt-9_b
0.4014021018,0.6460165,Kelt-9_b
0.4016028028,0.64655885,Kelt-9_b
0.4018036042,0.64710969,Kelt-9_b
0.402004506,0.64766563,Kelt-9_b
0.4022055083,0.64822439,Kelt-9_b
0.402406611,0.6487845,Kelt-9_b
0.4026078143,0.64934511,Kelt-9_b
0.4028091182,0.6499057,Kelt-9_b
0.4030105228,0.65046602,Kelt-9_b
0.403212028,0.6510259,Kelt-9_b
0.4034136341,0.65158526,Kelt-9_b
0.4036153409,0.65214406,Kelt-9_b
0.4038171485,0.65270225,Kelt-9_b
0.4040190571,0.65325982,Kelt-9_b
0.4042210666,0.65381674,Kelt-9_b
0.4044231772,0.654373,Kelt-9_b
0.4046253888,0.6549286,Kelt-9_b
0.4048277015,0.65548355,Kelt-9_b
0.4050301153,0.65603784,Kelt-9_b
0.4052326304,0.65659148,Kelt-9_b
0.4054352467,0.6571445,Kelt-9_b
0.4056379643,0.65769691,Kelt-9_b
0.4058407833,0.6582487,Kelt-9_b
0.4060437037,0.65879988,Kelt-9_b
0.4062467255,0.65935043,Kelt-9_b
0.4064498489,0.65990033,Kelt-9_b
0.4066530738,0.66044959,Kelt-9_b
0.4068564004,0.66099818,Kelt-9_b
0.4070598286,0.66154612,Kelt-9_b
0.4072633585,0.6620934,Kelt-9_b
0.4074669902,0.66264002,Kelt-9_b
0.4076707237,0.66318598,Kelt-9_b
0.407874559,0.66373126,Kelt-9_b
0.4080784963,0.66427585,Kelt-9_b
0.4082825355,0.66481971,Kelt-9_b
0.4084866768,0.66536282,Kelt-9_b
0.4086909201,0.66590518,Kelt-9_b
0.4088952656,0.66644676,Kelt-9_b
0.4090997132,0.66698759,Kelt-9_b
0.4093042631,0.66752766,Kelt-9_b
0.4095089152,0.66806701,Kelt-9_b
0.4097136697,0.66860563,Kelt-9_b
0.4099185265,0.66914356,Kelt-9_b
0.4101234858,0.66968081,Kelt-9_b
0.4103285475,0.67021738,Kelt-9_b
0.4105337118,0.67075328,Kelt-9_b
0.4107389787,0.67128851,Kelt-9_b
0.4109443481,0.67182309,Kelt-9_b
0.4111498203,0.67235702,Kelt-9_b
0.4113553952,0.67289029,Kelt-9_b
0.4115610729,0.67342291,Kelt-9_b
0.4117668535,0.67395488,Kelt-9_b
0.4119727369,0.6744862,Kelt-9_b
0.4121787233,0.67501685,Kelt-9_b
0.4123848126,0.6755468,Kelt-9_b
0.412591005,0.67607604,Kelt-9_b
0.4127973005,0.67660453,Kelt-9_b
0.4130036992,0.67713225,Kelt-9_b
0.413210201,0.6776592,Kelt-9_b
0.4134168061,0.67818538,Kelt-9_b
0.4136235145,0.67871083,Kelt-9_b
0.4138303263,0.6792356,Kelt-9_b
0.4140372415,0.67975973,Kelt-9_b
0.4142442601,0.68028326,Kelt-9_b
0.4144513822,0.68080623,Kelt-9_b
0.4146586079,0.68132862,Kelt-9_b
0.4148659372,0.68185041,Kelt-9_b
0.4150733702,0.68237155,Kelt-9_b
0.4152809069,0.68289201,Kelt-9_b
0.4154885473,0.68341178,Kelt-9_b
0.4156962916,0.68393084,Kelt-9_b
0.4159041397,0.68444926,Kelt-9_b
0.4161120918,0.68496709,Kelt-9_b
0.4163201478,0.6854844,Kelt-9_b
0.4165283079,0.68600123,Kelt-9_b
0.4167365721,0.68651763,Kelt-9_b
0.4169449404,0.68703359,Kelt-9_b
0.4171534128,0.68754906,Kelt-9_b
0.4173619895,0.68806401,Kelt-9_b
0.4175706705,0.68857838,Kelt-9_b
0.4177794559,0.68909212,Kelt-9_b
0.4179883456,0.68960519,Kelt-9_b
0.4181973398,0.69011756,Kelt-9_b
0.4184064384,0.69062923,Kelt-9_b
0.4186156417,0.6911402,Kelt-9_b
0.4188249495,0.69165047,Kelt-9_b
0.4190343619,0.69216005,Kelt-9_b
0.4192438791,0.69266896,Kelt-9_b
0.4194535011,0.6931772,Kelt-9_b
0.4196632278,0.69368478,Kelt-9_b
0.4198730594,0.69419171,Kelt-9_b
