Wavelength_um,Total_T,Planet
1.0,0.68717847,Kepler-1065_b
1.01,0.70448872,Kepler-1065_b
1.02,0.71685514,Kepler-1065_b
1.03,0.72152578,Kepler-1065_b
1.04,0.71615611,Kepler-1065_b
1.05,0.69924182,Kepler-1065_b
1.06,0.6704624,Kepler-1065_b
1.07,0.63086209,Kepler-1065_b
1.08,0.58282274,Kepler-1065_b
1.09,0.52982324,Kepler-1065_b
1.1,0.47602393,Kepler-1065_b
1.11,0.42575216,Kepler-1065_b
1.12,0.3829831,Kepler-1065_b
1.13,0.35090396,Kepler-1065_b
1.14,0.3316197,Kepler-1065_b
1.15,0.32601665,Kepler-1065_b
1.16,0.33376671,Kepler-1065_b
1.17,0.35343735,Kepler-1065_b
1.18,0.38267328,Kepler-1065_b
1.19,0.41842749,Kepler-1065_b
1.2,0.45722802,Kepler-1065_b
1.21,0.49546669,Kepler-1065_b
1.22,0.52968797,Kepler-1065_b
1.23,0.55684877,Kepler-1065_b
1.24,0.5745189,Kepler-1065_b
1.25,0.58100568,Kepler-1065_b
1.26,0.57540323,Kepler-1065_b
1.27,0.55758489,Kepler-1065_b
1.28,0.52816405,Kepler-1065_b
1.29,0.48844142,Kepler-1065_b
1.3,0.44033937,Kepler-1065_b
1.31,0.38630477,Kepler-1065_b
1.32,0.3291553,Kepler-1065_b
1.33,0.27185447,Kepler-1065_b
1.34,0.2172287,Kepler-1065_b
1.35,0.16767166,Kepler-1065_b
1.36,0.1249012,Kepler-1065_b
1.37,0.089828842,Kepler-1065_b
1.38,0.06257292,Kepler-1065_b
1.39,0.042605431,Kepler-1065_b
1.4,0.028986505,Kepler-1065_b
1.41,0.020623297,Kepler-1065_b
1.42,0.016495576,Kepler-1065_b
1.43,0.015810976,Kepler-1065_b
1.44,0.018078083,Kepler-1065_b
1.45,0.023105117,Kepler-1065_b
1.46,0.030941707,Kepler-1065_b
1.47,0.041783519,Kepler-1065_b
1.48,0.055857073,Kepler-1065_b
1.49,0.073300542,Kepler-1065_b
1.5,0.094055966,Kepler-1065_b
1.51,0.11778785,Kepler-1065_b
1.52,0.14384234,Kepler-1065_b
1.53,0.17125642,Kepler-1065_b
1.54,0.19881871,Kepler-1065_b
1.55,0.22517389,Kepler-1065_b
1.56,0.2489551,Kepler-1065_b
1.57,0.26892141,Kepler-1065_b
1.58,0.28407824,Kepler-1065_b
1.59,0.29376307,Kepler-1065_b
1.6,0.29768592,Kepler-1065_b
1.61,0.29592339,Kepler-1065_b
1.62,0.28887223,Kepler-1065_b
1.63,0.27717428,Kepler-1065_b
1.64,0.26162706,Kepler-1065_b
1.65,0.24309491,Kepler-1065_b
1.66,0.22243356,Kepler-1065_b
1.67,0.20043751,Kepler-1065_b
1.68,0.17781384,Kepler-1065_b
1.69,0.1551793,Kepler-1065_b
1.7,0.13307222,Kepler-1065_b
1.71,0.11196696,Kepler-1065_b
1.72,0.092280865,Kepler-1065_b
1.73,0.074367964,Kepler-1065_b
1.74,0.058501195,Kepler-1065_b
1.75,0.044850595,Kepler-1065_b
1.76,0.033467524,Kepler-1065_b
1.77,0.024282457,Kepler-1065_b
1.78,0.017119453,Kepler-1065_b
1.79,0.011724621,Kepler-1065_b
1.8,0.0078017,Kepler-1065_b
1.81,0.0050471922,Kepler-1065_b
1.82,0.0031787608,Kepler-1065_b
1.83,0.0019534733,Kepler-1065_b
1.84,0.0011759195,Kepler-1065_b
1.85,0.00069792653,Kepler-1065_b
1.86,0.00041294763,Kepler-1065_b
1.87,0.00024793478,Kepler-1065_b
1.88,0.00015488051,Kepler-1065_b
1.89,0.00010343621,Kepler-1065_b
1.9,7.5085719e-05,Kepler-1065_b
1.91,5.8884535e-05,Kepler-1065_b
1.92,4.8657512e-05,Kepler-1065_b
1.93,4.1141834e-05,Kepler-1065_b
1.94,3.4768375e-05,Kepler-1065_b
1.95,2.8956364e-05,Kepler-1065_b
1.96,2.3627959e-05,Kepler-1065_b
1.97,1.8896604e-05,Kepler-1065_b
1.98,1.4893715e-05,Kepler-1065_b
1.99,1.1680005e-05,Kepler-1065_b
