Wavelength_um,Total_T,Planet
0.5,2.49793e-08,OGLE-2016-BLG-1227L_b
0.5025,2.49792e-08,OGLE-2016-BLG-1227L_b
0.5050125,2.49797e-08,OGLE-2016-BLG-1227L_b
0.5075375625,2.49789e-08,OGLE-2016-BLG-1227L_b
0.5100752503,2.49782e-08,OGLE-2016-BLG-1227L_b
0.5126256266,2.49779e-08,OGLE-2016-BLG-1227L_b
0.5151887547,2.49777e-08,OGLE-2016-BLG-1227L_b
0.5177646985,2.49774e-08,OGLE-2016-BLG-1227L_b
0.520353522,2.49772e-08,OGLE-2016-BLG-1227L_b
0.5229552896,2.49769e-08,OGLE-2016-BLG-1227L_b
0.525570066,2.49768e-08,OGLE-2016-BLG-1227L_b
0.5281979164,2.49765e-08,OGLE-2016-BLG-1227L_b
0.5308389059,2.49763e-08,OGLE-2016-BLG-1227L_b
0.5334931005,2.4976e-08,OGLE-2016-BLG-1227L_b
0.536160566,2.49758e-08,OGLE-2016-BLG-1227L_b
0.5388413688,2.49757e-08,OGLE-2016-BLG-1227L_b
0.5415355756,2.49761e-08,OGLE-2016-BLG-1227L_b
0.5442432535,2.49758e-08,OGLE-2016-BLG-1227L_b
0.5469644698,2.49752e-08,OGLE-2016-BLG-1227L_b
0.5496992921,2.49748e-08,OGLE-2016-BLG-1227L_b
0.5524477886,2.49746e-08,OGLE-2016-BLG-1227L_b
0.5552100275,2.49744e-08,OGLE-2016-BLG-1227L_b
0.5579860777,2.49742e-08,OGLE-2016-BLG-1227L_b
0.5607760081,2.49741e-08,OGLE-2016-BLG-1227L_b
0.5635798881,2.49739e-08,OGLE-2016-BLG-1227L_b
0.5663977875,2.49737e-08,OGLE-2016-BLG-1227L_b
0.5692297765,2.49745e-08,OGLE-2016-BLG-1227L_b
0.5720759254,2.49741e-08,OGLE-2016-BLG-1227L_b
0.574936305,2.49736e-08,OGLE-2016-BLG-1227L_b
0.5778109865,2.49732e-08,OGLE-2016-BLG-1227L_b
0.5807000414,2.49729e-08,OGLE-2016-BLG-1227L_b
0.5836035417,2.49728e-08,OGLE-2016-BLG-1227L_b
0.5865215594,2.49728e-08,OGLE-2016-BLG-1227L_b
0.5894541672,2.49772e-08,OGLE-2016-BLG-1227L_b
0.592401438,2.49778e-08,OGLE-2016-BLG-1227L_b
0.5953634452,2.4975e-08,OGLE-2016-BLG-1227L_b
0.5983402624,2.49725e-08,OGLE-2016-BLG-1227L_b
0.6013319637,2.49719e-08,OGLE-2016-BLG-1227L_b
0.6043386235,2.49717e-08,OGLE-2016-BLG-1227L_b
0.6073603167,2.49716e-08,OGLE-2016-BLG-1227L_b
0.6103971182,2.49715e-08,OGLE-2016-BLG-1227L_b
0.6134491038,2.49717e-08,OGLE-2016-BLG-1227L_b
0.6165163494,2.4972e-08,OGLE-2016-BLG-1227L_b
0.6195989311,2.49724e-08,OGLE-2016-BLG-1227L_b
0.6226969258,2.49716e-08,OGLE-2016-BLG-1227L_b
0.6258104104,2.4971e-08,OGLE-2016-BLG-1227L_b
0.6289394624,2.49716e-08,OGLE-2016-BLG-1227L_b
0.6320841597,2.49712e-08,OGLE-2016-BLG-1227L_b
0.6352445805,2.49707e-08,OGLE-2016-BLG-1227L_b
0.6384208035,2.49705e-08,OGLE-2016-BLG-1227L_b
0.6416129075,2.49705e-08,OGLE-2016-BLG-1227L_b
0.644820972,2.49705e-08,OGLE-2016-BLG-1227L_b
0.6480450769,2.49739e-08,OGLE-2016-BLG-1227L_b
0.6512853022,2.4974e-08,OGLE-2016-BLG-1227L_b
0.6545417288,2.49721e-08,OGLE-2016-BLG-1227L_b
0.6578144374,2.49703e-08,OGLE-2016-BLG-1227L_b
0.6611035096,2.497e-08,OGLE-2016-BLG-1227L_b
0.6644090271,2.49701e-08,OGLE-2016-BLG-1227L_b
0.6677310723,2.49699e-08,OGLE-2016-BLG-1227L_b
0.6710697276,2.49696e-08,OGLE-2016-BLG-1227L_b
0.6744250763,2.49694e-08,OGLE-2016-BLG-1227L_b
0.6777972017,2.49693e-08,OGLE-2016-BLG-1227L_b
0.6811861877,2.49693e-08,OGLE-2016-BLG-1227L_b
0.6845921186,2.49693e-08,OGLE-2016-BLG-1227L_b
0.6880150792,2.49692e-08,OGLE-2016-BLG-1227L_b
0.6914551546,2.49693e-08,OGLE-2016-BLG-1227L_b
0.6949124304,2.49803e-08,OGLE-2016-BLG-1227L_b
0.6983869925,2.49761e-08,OGLE-2016-BLG-1227L_b
0.7018789275,2.49748e-08,OGLE-2016-BLG-1227L_b
0.7053883221,2.49709e-08,OGLE-2016-BLG-1227L_b
0.7089152637,2.49696e-08,OGLE-2016-BLG-1227L_b
0.71245984,2.49694e-08,OGLE-2016-BLG-1227L_b
0.7160221392,2.49721e-08,OGLE-2016-BLG-1227L_b
0.7196022499,2.5019e-08,OGLE-2016-BLG-1227L_b
0.7232002612,2.50099e-08,OGLE-2016-BLG-1227L_b
0.7268162625,2.50045e-08,OGLE-2016-BLG-1227L_b
0.7304503438,2.49846e-08,OGLE-2016-BLG-1227L_b
0.7341025955,2.49747e-08,OGLE-2016-BLG-1227L_b
0.7377731085,2.49703e-08,OGLE-2016-BLG-1227L_b
0.741461974,2.49683e-08,OGLE-2016-BLG-1227L_b
0.7451692839,2.4968e-08,OGLE-2016-BLG-1227L_b
0.7488951303,2.49679e-08,OGLE-2016-BLG-1227L_b
0.752639606,2.49679e-08,OGLE-2016-BLG-1227L_b
0.756402804,2.49678e-08,OGLE-2016-BLG-1227L_b
0.760184818,2.49679e-08,OGLE-2016-BLG-1227L_b
