# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Apr 10 16:34:26 2025
# Radiative transfer took 0.916 seconds
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CO2 N2 CO O2 SO2 H2O O3  Rayleigh CIA
5.000000000e-01 5.11717e-07 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99779e-01 9.99999e-01 5.11830e-07 9.99998e-01
5.025000000e-01 6.79986e-07 9.98883e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98728e-01 9.99999e-01 6.81616e-07 9.99988e-01
5.050125000e-01 9.00980e-07 9.99994e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98588e-01 9.99999e-01 9.02282e-07 9.99971e-01
5.075375625e-01 1.18608e-06 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98580e-01 9.99999e-01 1.18779e-06 9.99978e-01
5.100752503e-01 1.55349e-06 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98925e-01 9.99999e-01 1.55517e-06 9.99993e-01
5.126256266e-01 2.02392e-06 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99283e-01 9.99999e-01 2.02537e-06 9.99998e-01
5.151887547e-01 2.62311e-06 9.99950e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99707e-01 9.99999e-01 2.62401e-06 9.99999e-01
5.177646985e-01 3.37773e-06 9.98787e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99875e-01 9.99999e-01 3.38224e-06 9.99999e-01
5.203535220e-01 4.33758e-06 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99956e-01 9.99999e-01 4.33777e-06 9.99999e-01
5.229552896e-01 5.53104e-06 9.99222e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99886e-01 9.99999e-01 5.53597e-06 9.99999e-01
